0,1,-1,413.1,808.581,504.179,0,
0,2,-1,-1,187.786,519.115,244.798,
0,3,-1,-1,-1,118.697,211.222,
0,4,-1,-1,-1,-1,64.0096,
1,2,-1,0,187.786,709.35,324.257,
1,3,-1,-1,0,118.697,342.39,
1,4,-1,-1,-1,4.54747e-13,64.0096,
2,3,-1,0,0,118.697,379.248,
2,4,-1,-1,0,0,64.0096,
3,4,-1,0,0,0,64.0096,
0,1,-1,1001.69,0,0,0,
0,2,-1,-1,804.137,2.27374e-13,0,
0,3,-1,-1,-1,706.902,-2.27374e-13,
0,4,-1,-1,-1,-1,396.983,
1,2,-1,1011.86,394.907,0,0,
1,3,-1,-1,930.077,367.565,0,
1,4,-1,-1,-1,482.437,251.999,
2,3,-1,685.642,924.775,173.391,0,
2,4,-1,-1,400.844,484.373,114.563,
3,4,-1,66.0756,400.844,421.971,79.6346,
0,1,-1,1001.69,0,0,0,
0,2,-1,-1,804.137,2.27374e-13,0,
0,3,-1,-1,-1,706.902,-2.27374e-13,
0,4,-1,-1,-1,-1,396.983,
1,2,-1,1011.86,394.907,0,0,
1,3,-1,-1,930.077,367.565,0,
1,4,-1,-1,-1,482.437,251.999,
2,3,-1,685.642,924.775,173.391,0,
2,4,-1,-1,400.844,484.373,114.563,
3,4,-1,66.0756,400.844,421.971,79.6346,
